id,name,ki,maxKi,race,gender,description,image,affiliation,deletedAt
1,Goku,60.000.000,90 Septillion,Saiyan,Male,"El protagonista de la serie, conocido por su gran poder y personalidad amigable. Originalmente enviado a la Tierra como un infante volador con la misión de conquistarla. Sin embargo, el caer por un barranco le proporcionó un brutal golpe que si bien casi lo mata, este alteró su memoria y anuló todos los instintos violentos de su especie, lo que lo hizo crecer con un corazón puro y bondadoso, pero conservando todos los poderes de su raza. No obstante, en la nueva continuidad de Dragon Ball se establece que él fue enviado por sus padres a la Tierra con el objetivo de sobrevivir a toda costa a la destrucción de su planeta por parte de Freeza. Más tarde, Kakarot, ahora conocido como Son Goku, se convertiría en el príncipe consorte del monte Fry-pan y líder de los Guerreros Z, así como el mayor defensor de la Tierra y del Universo 7, logrando mantenerlos a salvo de la destrucción en innumerables ocasiones, a pesar de no considerarse a sí mismo como un héroe o salvador.",https://dragonball-api.com/characters/goku_normal.webp,Z Fighter,
2,Vegeta,54.000.000,19.84 Septillion,Saiyan,Male,"Príncipe de los Saiyans, inicialmente un villano, pero luego se une a los Z Fighters. A pesar de que a inicios de Dragon Ball Z, Vegeta cumple un papel antagónico, poco después decide rebelarse ante el Imperio de Freeza, volviéndose un aliado clave para los Guerreros Z. Con el paso del tiempo llegaría a cambiar su manera de ser, optando por permanecer y vivir en la Tierra para luchar a su lado contra las inminentes adversidades que superar. Junto con Piccolo, él es de los antiguos enemigos de Goku que ha evolucionando al pasar de ser un villano y antihéroe, a finalmente un héroe a lo largo del transcurso de la historia, convirtiéndose así en el deuteragonista de la serie.",https://dragonball-api.com/characters/vegeta_normal.webp,Z Fighter,
3,Piccolo,2.000.000,500.000.000,Namekian,Male,"Es un namekiano que surgió tras ser creado en los últimos momentos de vida de su padre, siendo su actual reencarnación. Aunque en un principio fue el archienemigo de Son Goku, con el paso del tiempo fue haciéndose menos malvado hasta finalmente convertirse en un ser bondadoso y miembro de los Guerreros Z. A través del tiempo, también comenzó a tomarle cariño a su discípulo Son Gohan, a quien veía como una especie de ""vástago"" y formando un lazo de amistad con este.",https://dragonball-api.com/characters/picolo_normal.webp,Z Fighter,
4,Bulma,0,0,Human,Female,"Bulma es la protagonista femenina de la serie manga Dragon Ball y sus adaptaciones al anime Dragon Ball, Dragon Ball Z, Dragon Ball Super y Dragon Ball GT. Es hija del Dr. Brief y su esposa Panchy, hermana menor de Tights y una gran amiga de Son Goku con quien inicia la búsqueda de las Esferas del Dragón. En Dragon Ball Z tuvo a Trunks, primogénito de quien sería su esposo Vegeta, a su hija Bra[3] y su hijo adulto del tiempo alterno Trunks del Futuro Alternativo.",https://dragonball-api.com/characters/bulma.webp,Z Fighter,
5,Freezer,530.000,52.71 Septillion,Frieza Race,Male,Freezer es el tirano espacial y el principal antagonista de la saga de Freezer.,https://dragonball-api.com/characters/Freezer.webp,Army of Frieza,
6,Zarbon,20.000,30.000,Frieza Race,Male,Zarbon es uno de los secuaces de Freezer y un luchador poderoso.,https://dragonball-api.com/characters/zarbon.webp,Army of Frieza,
7,Dodoria,18.000,20.000,Frieza Race,Male,Dodoria es otro secuaz de Freezer conocido por su brutalidad.,https://dragonball-api.com/characters/dodoria.webp,Army of Frieza,
8,Ginyu,9.000,25.000,Frieza Race,Male,"Ginyu es el líder del la élite de mercenarios de mayor prestigio del Ejército de Freeza, la cual lleva el nombre de Fuerzas Especiales Ginew en su honor[9].",https://dragonball-api.com/characters/ginyu.webp,Army of Frieza,
9,Celula,250.000.000,5 Billion,Android,Male,"Cell conocido como Célula en España, es un bioandroide creado por la computadora del Dr. Gero, quien vino del futuro de la línea 3 con la intención de vengarse de Goku por haber acabado con el Ejército del Listón Rojo, y con ello el sueño de todo villano: dominar el mundo. Es el antagonista principal del Arco de los Androides y Cell.",https://dragonball-api.com/characters/celula.webp,Freelancer,
10,Gohan,45.000.000,40 septillion,Saiyan,Male,"Son Gohanda en su tiempo en España, o simplemente Gohan en Hispanoamérica, es uno de los personajes principales de los arcos argumentales de Dragon Ball Z, Dragon Ball Super y Dragon Ball GT. Es un mestizo entre saiyano y humano terrícola. Es el primer hijo de Son Goku y Chi-Chi, hermano mayor de Son Goten, esposo de Videl y padre de Pan.",https://dragonball-api.com/characters/gohan.webp,Z Fighter,
